wallet,total_fee,token_diversity,defi_activity_count,mint_count,tokens_minted,spl_tokens_sent,avg_tx_value,max_tx_value,median_tx_value,avg_tx_interval,std_tx_interval,unique_destinations,dest_entropy,unique_tokens,spl_transfer_count,nft_transfer_count,mint_event_count,defi_program_count,fee_per_tx,activity_score,tx_count,avg_fee,total_sent_sol,avg_tx_size,fee_ratio,defi_ratio,mint_ratio,inv_avg_interval,cluster,behavior_label,pca1,pca2
BZdNjbdUfEpzxmqhfL9zoNn23bxbkaaECex6ZKnYwwwV,15800,0,1,0,0,0,1e-06,1e-06,1e-06,0.0,0.0,1,0.0,0,0,0,0,0,15800.0,1.0,1,15800.0,1000.0,1000.0,15800.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.32340132560476653,-0.441815885707236
BZfBoHi8u38m9BoYr2tLHYBd2gPzZCLX2C3EgbpSKMxV,30000,0,1,0,0,0,1e-06,1e-06,1e-06,0.0,0.0,1,0.0,0,0,0,0,0,30000.0,1.0,1,30000.0,1000.0,1000.0,30000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.3231610705175139,-0.4360923682267745
BZxy9m1BJG554hHW24BEis9vrPagL3a7LYvqmAwaZJh3,5000,0,1,0,0,0,0.000892876,0.000892876,0.000892876,0.0,0.0,1,0.0,0,0,0,0,0,5000.0,1.0,1,5000.0,892876.0,892876.0,5000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.323583896709292,-0.4461616337824722
BaVuF6yrCeNLXm2rP9Aj6ingEz7QyG4MoHiPYJTgvLg5,5000,0,1,0,0,0,0.258967683,0.258967683,0.258967683,0.0,0.0,1,0.0,0,0,0,0,0,5000.0,1.0,1,5000.0,258967683.0,258967683.0,5000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.32353814376416723,-0.44403490391564066
Bay9z8qopZTTWdFeLa1JdUqCNjVpsmbHtQPfJJjRzo8i,15000,0,1,0,0,0,0.003,0.003,0.003,0.0,0.0,1,0.0,0,0,0,0,0,15000.0,1.0,1,15000.0,3000000.0,3000000.0,15000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.32341432942314735,-0.44211362338817606
BazjhiDfToYpnzTfbEv5As5sQcYTYEb1vz6qP3Q3FU5L,5000,0,1,0,0,0,0.000892876,0.000892876,0.000892876,0.0,0.0,1,0.0,0,0,0,0,0,5000.0,1.0,1,5000.0,892876.0,892876.0,5000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.323583896709292,-0.4461616337824722
Bazo38S6Vfk6dvbM4LxUPYUEXyAAQ1JV7KtLqmfEY7Zq,5000,0,1,0,0,0,0.000892876,0.000892876,0.000892876,0.0,0.0,1,0.0,0,0,0,0,0,5000.0,1.0,1,5000.0,892876.0,892876.0,5000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.323583896709292,-0.4461616337824722
BbteWyJEqM36qKvjvQXU5yuK6NrFM1FDCc9xQdvMB6fg,2610000,0,1,0,0,0,0.00215,0.003,0.00215,0.0,0.0,2,0.6931471805599453,0,0,0,0,0,1305000.0,2.0,2,1305000.0,4300000.0,2150000.0,1305000.0,0.5,0.0,0.0,0,🟢 DeFi User,0.5448323121134765,0.9189165942229428
BcGTooM8QCrMx4hKowmQEyUVjPsomrHzevvZX8kma2j7,5000,0,1,0,0,0,0.000892876,0.000892876,0.000892876,0.0,0.0,1,0.0,0,0,0,0,0,5000.0,1.0,1,5000.0,892876.0,892876.0,5000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.323583896709292,-0.4461616337824722
BcUCPzynzDFCFgAzhteC2dPgMVLbmYNbEkBSAhYooCP8,8010002,0,1,0,0,0,0.003442922,0.004,0.003442922,0.0,0.0,2,0.6931471805599453,0,0,0,0,0,4005001.0,2.0,2,4005001.0,6885844.0,3442922.0,4005001.0,0.5,0.0,0.0,0,🟢 DeFi User,0.5905152742674511,2.0072079035737422
