wallet,tx_count,total_sent_sol,avg_tx_value,median_tx_value,max_tx_value,avg_fee,total_fee,fee_ratio,avg_tx_interval,std_tx_interval,unique_destinations,dest_entropy,token_diversity,mint_count,mint_ratio,type_system_transfer,type_spl-token_transfer,type_system_createAccount,type_spl-token_closeAccount,type_spl-token_transferChecked,type_address-lookup-table_extendLookupTable,type_spl-associated-token-account_createIdempotent,type_spl-associated-token-account_create,type_unknown,type_system_advanceNonce,type_system_createAccountWithSeed,type_spl-token_burn,type_spl-token_approveChecked,type_address-lookup-table_createLookupTable,type_spl-token_approve
7LvukWcu2DiPqNqE9j6aDxDKjFzUch4K3icbGVdxc6Pj,2,0.0,0.0,0.0,0.0,31322.0,62644,31322.0,0.0,0.0,1,0.0,1,2,1.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
GcmXqJWgUwY29AAdZ8kVBSNcX23QsXP8CwAtFvXxv3oR,1,0.071243,0.071243,0.071243,0.071243,13040.0,13040,13040.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9DUqHNNgu1CE8EKZ9aXWti1cYNHXmNzDibs1tujnLwNt,1,0.01,0.01,0.01,0.01,5000.0,5000,5000.0,0.0,0.0,1,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERnmyJBkUPBv9Ex9c9aB4ZMnam5wk4QdQpzLZvxqPbvK,1,0.0,0.0,0.0,0.0,206500.0,206500,206500.0,0.0,0.0,1,0.0,1,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
is6MTRHEgyFLNTfYcuV4QBWLjrZBfmhVNYR6ccgr8KV,1,0.12444623,0.12444623,0.12444623,0.12444623,135370.0,135370,135370.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
px1rbjiEWwwcq1epXSsTMJERyQy7h4vg4VopqFz2HwH,71,7.8338e-05,1.1033521126760564e-06,1e-06,3.172e-06,5000.0,355000,5000.0,874.2714285714286,6805.8295136730885,8,2.0114231001575673,0,0,0.0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4zvrEeDRsFUBWewWtaYadE6DrBpHDF9PKaop6K6SX5Pn,2,0.000101,5.05e-05,5.05e-05,0.0001,5000.0,10000,5000.0,0.0,0.0,2,0.6931471805599453,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FMBxaJ8GkKkMRAR1mZHmNTpPmpVapfJ47mWpfnsbnEj6,2,0.000301,0.0001505,0.0001505,0.0003,5000.0,10000,5000.0,0.0,0.0,2,0.6931471805599453,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
H2vzDMNbnyKCNf8av9eaWTRSjbL67PoDahxvtykLw36C,4,4e-05,1e-05,1e-05,1e-05,5000.0,20000,5000.0,0.3333333333333333,0.4714045207910317,1,0.0,0,0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6UuAvK92zCDufDwyVSz92yQSJaN6LJDwcDJeu2MMVj9Q,1,2e-05,2e-05,2e-05,2e-05,5000.0,5000,5000.0,0.0,0.0,1,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
