,Unnamed: 0,tx_count,total_sent,total_fee,avg_fee,anomaly
4381,7mMThGi3Qq8n2CV4c5Vb35SeWxfbmKbbqyCzrZr72epM,1,13000000000,15000,15000.0,-1
2170,9QhszfThF5cCudY5KzSTtTSHEtP4aZMG3g3X2ZGbLFVi,1,12700000000,15000,15000.0,-1
2187,Ga9FB3vciLspxAWMyg7oCxosbZz1jSDNkJU6jH68JRoG,1,12290086772,5006,5006.0,-1
3877,B5BBGwA9QcU4qYtzUwxYzzo8j5YYLH8vMmCBX6R6RVqV,1,11999999976,2085027,2085027.0,-1
3156,CAiYwQXUfTDQ6S2yvxvHePHrtbYKUoCZiiqXCaTNNHGQ,4,11996019700,20000,5000.0,-1
4291,FEdGNuYHXn5m7Mnb87vB34NYmUD35Tq2d8qcJ5uNsB4Q,1,11540321623,20000,20000.0,-1
658,marx26JPy1eBYjeyoyZgG7VP15wbmvegrztqLbXS7Gi,9,10642235594,81000,9000.0,-1
2702,9MofJcQMXe6SFq3GRTw5xVgdptbDWVZhn74BtRMR9eUm,1,10094948000,15000,15000.0,-1
1082,R3XCnEWFFkpiBjDd1fSoF1j7ArbdXaNzmXcgdsqoawe,1,10000000000,1339017,1339017.0,-1
3301,EEbA6Qibqjp3FgF88EGVMoXKMGJtmixAPtYuweQ1xUS5,1,10000000000,15000,15000.0,-1
