,Unnamed: 0,tx_count,total_sent,total_fee,avg_fee,anomaly
3046,J2ApUNn1G4UV1stoCii3vBEKCWeJK6seAMv2yd4cajYJ,1,1999999974,4010001,4010001.0,-1
1409,3viRrf8Dusyyw12vvVqqywPopXCZ6uBojo3pXqiqgHzV,2,1699999995,4747641,2373820.5,-1
1415,4revToJgsDHNapqownW1zTDFP1Hrh8HRpXBEh4CrnMWz,9,1497300000,90450,10050.0,-1
1262,5Kz27d8TYrwpch6CHxbzK1zkDDcwnz2w8jSP6QCrh668,1,1461556691,4005001,4005001.0,-1
2120,2MzNrZ9sok4MJBcc5UDwp4cK5NUz3mbaELbHNk68aYNi,1,1446192962,2005000,2005000.0,-1
2336,H3aZbPJV9qLGP9E3rTSE3oxEWKYKNiH2LuLgV7Q4TDRr,2,1200000000,3765592,1882796.0,-1
4108,HL8K4ikWGQyn4dDfxjDntfufDyje7cLhikw8oVFSYfZm,1,1147578472,2436796,2436796.0,-1
3875,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,2,1135285180,8020000,4010000.0,-1
874,DhEsUaJkT1DzkFUWLCkU21VruJQZk1es4zBRhU9QjK9R,9,1122886257,45198,5022.0,-1
1270,Axv4VYQxEKtBQVfyAWqdGKyDd7Eq9hn6Rt2vXaAkhsDM,6,1095000000,36030000,6005000.0,-1
2700,8JWVtS21nfQddQR5thDQ8bL5ykHKAGLcYSdR3uQqBvoG,1,1059000000,4005000,4005000.0,-1
4314,A77HErqtfN1hLLpvZ9pCtu66FEtM8BveoaKbbMoZ4RiR,2,1048230700,4020000,2010000.0,-1
683,A1uFrTbHxR1sAC4A5RsZyQ22ekEzMn3XXeQEsPZ3PnQg,26,1035310044,130000,5000.0,-1
685,7oPG3Tdgvp76J4DtA92TDipRE9sSuXdvDYgBsoucuT3c,22,1019150392,110000,5000.0,-1
2000,8CujfavJhsBjHdbCR1Dj1cgBhoMEKnZeVzD2WYQ4x6Mh,1,1000000000,100005000,100005000.0,-1
3350,7RAnzoxvT5fDcnbvqV4PvqQPtsng6thTw9i1ePSQGTAe,1,999999988,4010001,4010001.0,-1
833,DzegYFeg2rhvHdRPpUd7V1t9HmgWxNLNQLW1oCG9RNGn,1,999999981,4010001,4010001.0,-1
23,7sDgzzETS1y2BgMAy2678i29aJDJvd2FkAyEPX7SA66A,15,760700000,86250,5750.0,-1
604,95cfoy472fcQHaw4tPGBTKpn6ZQnfEPfBgDQx6gcRmRg,20,602857670,100000,5000.0,-1
1255,9iUfnZznjgGWhmLcufeurvnSGivYNuTeH9n7pUWne4hp,1,599999975,2343042,2343042.0,-1
4419,515vyCHJY6AwxgPV6kjWcyiYKkrzMt8njajgQUPEGRce,1,500000000,2627919,2627919.0,-1
770,EWfsrKr79BBPjf2522PYFUi57q89Da1f2gAWHStz7tRN,3,494997430,6123023,2041007.6666666667,-1
3760,HXGV9Eq9Hh7xYLbDMp3btftaWNMLtPARRTPKDBm2FEqL,1,453947343,4010001,4010001.0,-1
583,DWefypurz5psZ4b1pBcW23pBKtiEpXjddZ5oeLU2pF1e,19,432043721,95000,5000.0,-1
1333,4Mkueg6iXCayBidCF9APg9fL8EDGe2FKyEJATuWT3dW7,8,172000000,24040000,3005000.0,-1
3347,F41o1pCnUk5txFYuGVmLamwfLq6SzqftW1rWcUYBGS4Z,2,166000000,12010000,6005000.0,-1
667,5d8tDay1ZDV4XVUBtTvFvQiLxDe8dz2ZCdsrkmTDcbm5,33,165000000,20639021,625424.8787878788,-1
159,A49EGR8oCQrbdLzyub1kAYnyGDVB2igbDct8PotjayHV,15,140555000,108750,7250.0,-1
2162,3rK2JNR9oqXST8GCMe49L3u54WHtzimDwi1cjYMZuNmz,2,124103640,22010002,11005001.0,-1
3451,CsZu3wM5uxCj85fznXbJ6pmDgLdN6He6v3sV5Jt4MmGC,2,105727881,30010000,15005000.0,-1
887,DXMU5Xgs8Wc3qUKSSWwEv4mVnf1aEZ1FHL6JSQGjgo5,88,105600000,484000,5500.0,-1
3302,627kcKByJQAJEUqzNnUDYZa725i7L1iKqmmPs3AdChKs,2,105000000,260010000,130005000.0,-1
840,5gStsf76Fr3uqPJVZM1xNFqSn6bLDC8VAEUFvsty7hfZ,1,100000000,8005000,8005000.0,-1
1256,Y8e95Q1YSFhRqcZt99KDUTW1WRa1Zr86weZBmkUfczH,4,96500000,11525070,2881267.5,-1
4232,7KV2NJ1VqdiLs7WzhurRchPy5jChtLqQ97FeoRBseaGT,1,75000000,50000000,50000000.0,-1
3228,2eNPY86oUZjsqNCZ1gPYPgSGMh4M4FnbkHCyFad3QQ6x,3,71000000,68879000,22959666.666666668,-1
3222,BV6kP32FooFyQ9JrMQdzQSUTPk6UWLV6UG8qHYghU1Ln,2,56000000,12010000,6005000.0,-1
3082,63Z4yBdXzapnaHSE8YNSSYYo5FdxyGAaQ1TS9p9SjmTC,6,55666183,54038742,9006457.0,-1
3022,BpJVEEGMdKAg2cNhVLsB28ZgmsEPqthVM8jC8YBtpWEs,2,49584987,12010000,6005000.0,-1
1984,3YgELAz6RNbuTHaG7dSVy5sGmsVrDcmYEeGG3t2UHKDi,1,45000000,10005000,10005000.0,-1
730,ESZERcwH15AHRVyeapZer1xFQqb11JyhYuEjPukHvBge,8,42464120,4758239,594779.875,-1
1049,J1BGJnefFbnsiScE5SmCjGw5Qcn9eX7xUDAFmAmvqbcz,40,40000000,220000,5500.0,-1
2994,5nw2yhZJGKcz5r6dvM9ZNRKaZan7vpvEDrQpCS1bit3c,1,40000000,10000000,10000000.0,-1
1998,DQkZMKqG8k9rx2kn3TkBmAhUrragFCAGgMFJSBaEfuRN,2,40000000,40000000,20000000.0,-1
3468,81Hp4AReBPTsKump6R4rXed9xUq1WWScSnSSWn4cGvGs,2,37500000,15010000,7505000.0,-1
3579,G9vsMe82sLb7RqPr2MzEECSvfXkFuyTdhSufSinV533X,4,33462851,24020000,6005000.0,-1
2159,GSqdXVePdGpNDHZwvBSTEnQx883KtTcfe3qG9REzmKiz,4,28667385,30020002,7505000.5,-1
2018,Dr9jvMaMqgQzWPHodHveiESv6dnFKLPFVUrLgYkiUPps,2,26000000,12010000,6005000.0,-1
1101,6Xm4jQj1tE793D6SJ75zR8o4vwPzLsxWCQeBh1WqeYQY,2,26000000,12010002,6005001.0,-1
3570,HeaPMVa4M9GL1p1FJ2yTXzHb21jAd9y9WiFHhgLkbbPf,2,26000000,12010000,6005000.0,-1
1566,APnChT91ydX134fiaCCG8S2ekDnX8uEMEoGZi4PcLZtX,2,24286689,38581428,19290714.0,-1
846,8sUvWbJ6SK6Yzin7yY2a1QDH5HWMsueETaVSYmGVVsQN,4,23000000,22020002,5505000.5,-1
1999,BXzt4pJDBYe1GfdUz5GqBkNQfNaQbUXNPAokXcP7yNYW,2,20000000,40000000,20000000.0,-1
2211,3nz3wMZUyHCpCLs6BSPHn5ZHXUPTfgxihFgHxC7mN7kW,2,19498771,12010000,6005000.0,-1
788,ApZ2u9aL3mdPWe3qoC53VhSTK4npJeHrgJXM1yUWSTq5,2,19285806,18581428,9290714.0,-1
3113,GCRG31aHX6yx18uGGNjhfFm36pjkdaCpqHzosS4kMKHR,2,19001993,18012914,9006457.0,-1
79,G2fbcmjMAuwaAaJjJdohc7hk7Df2raM6tpKAvwUVVran,20,19000000,110000,5500.0,-1
3379,8ci2iLEnLKVAofHm5epFVnREZoU4X5fFxnTNvyFQ6m3D,4,18186847,24020000,6005000.0,-1
3100,7XBqnsW5WjMzFG1dRDfvP9jkyJ1U9TyEBsg6iKaNizLs,6,18000000,18030000,3005000.0,-1
1401,4SWPYiatG2mSdL3riFaMn9o6PJSBKqrGshuTNvUmaUaM,2,17317462,13581428,6790714.0,-1
2044,3D6jeekBmHz2hLg8vqUgAaSu4kEpEg4EnCZ9irWHQRsW,2,16502226,13012914,6506457.0,-1
1341,8nkypNqyhJXeuJq8X8F5mgCg8Mo9BJBdvd5CrVF8ZGKU,4,16000000,16020000,4005000.0,-1
579,8qfwJitH7zb93dzgNzTP4SsQ6BBk15MrmsPkhsRYWvF4,2,15952846,20010000,10005000.0,-1
601,DB3rVRXyjp4gkeT5ZGdWApNKWkh6oyuSMqdUxF4M2LGZ,4,15181242,24020000,6005000.0,-1
2119,GTKvfSjsDNu21u2m4KVgWd3eAMeD4mALWmpA291Uv911,1,15000000,6005945,6005945.0,-1
4386,8z4wYumbUAXbSU34134R1ApzgirznTdBDk32XxgrXtwd,1,15000000,35010000,35010000.0,-1
741,A5gVRXBiPnu6fhaHjJfHmxLMzoNrhY4pA8mNmT5iraer,4,14000000,24020000,6005000.0,-1
763,GWWz5riupDt9sTZX1iaW1S77ag2tBxZpsPpgkEcvbSha,4,13382725,24020000,6005000.0,-1
1979,BEgcLkVZU4gZTycbtShgUbTP2wrjRZyhLv36TZ9RNCFX,8,12418438,24040000,3005000.0,-1
995,BSwyoh3gTjGfaNwLMjTXMmLz2EiNVgCVaiExphcmk3u8,2,12127001,13581428,6790714.0,-1
35,oQPnhXAbLbMuKHESaGrbXT17CyvWCpLyERSJA9HCYd7,310,12114955,1550310,5001.0,-1
2056,4JuXPL5FBdHMwZnT3bJPRqG1zjWU9zw53eCw1VH678zA,2,12001919,18012914,9006457.0,-1
4128,A92gCiQfitMghuobtuqFVbSuH6X3Mx9wGxkUmqukfPiM,2,11002123,18012914,9006457.0,-1
2208,5EBADQD5THazBauPcNiGZ12MJfdMz6BDBeMtya95m9Ux,4,11000000,16020000,4005000.0,-1
868,7hknqT3czRQc4fk4JMweQFNVv3mspuFxEHi6HDVJSf6X,2,10500000,15010000,7505000.0,-1
3230,p86ir5yFxHmLvffsWLk2BDrLcWUQEAZHytGuS7g6Vho,2,10450931,14410000,7205000.0,-1
3807,HbxY4qVrKftfsKiMQ5wPvRLKUMDTRBrVRhBLv6mDzcF8,2,10100000,20010000,10005000.0,-1
2433,AUGVoc2q5ZpzpQTb5C54AUnZ8sikNVzzP9W9cHpqa52A,1,10000000,20000000,20000000.0,-1
3278,C6izxaGTcMLikDG5NtZB7FxrB4qV69JDjT5YsoXnV5DV,6,9206793,18030000,3005000.0,-1
4133,GRYoDU9z9REvpabmmev9A9W5cNS4ruNBTjTboKD89WUn,2,8720351,13012914,6506457.0,-1
3802,GgiFtwKKAD73bSQtvRjyCSSvw4a54kAbXDH9cfhMCEXu,1,8716743,8005000,8005000.0,-1
943,4ydZwBQ8vLPEHKDHd8UypcpQthnAS7t1JUrcoBTKNEbu,2,7607058,13581428,6790714.0,-1
586,xx3nK3x3MCpYxgZsgRQPFoucfewJhFk2EUqysgQ9hAm,53,6466528,265053,5001.0,-1
64,LUKAzPV8dDbVykTVT14pCGKzFfNcgZgRbAXB8AGdKx3,58,5487825,290058,5001.0,-1
309,7BeWr6tVa1pYgrEddekYTnQENU22bBw9H8HYJUkbrN71,19,5107656,95000,5000.0,-1
3938,2wozcovU3cfNVxA4QyeeJJHNqYtzYVFh2xpgDiTs9EKY,1,3439208,8005000,8005000.0,-1
2705,TJ5p8yGx1LAotZ7vBMYbAmvFE7VimyLAdvxL1Epkwdq,1,3340305,15000001,15000001.0,-1
587,mooaVDhCapdaDQAMJ6m9bkR7SpjmDJZpZTCn86UUvnn,38,3002298,190038,5001.0,-1
1248,Dfvnn12zSbp2wvcvc8Xw7sFwmVuEmP1YD9eqi9Y1D6Nd,1,3000000,7010000,7010000.0,-1
863,78vtDq1wU3P6VTosfxQDKEwn8beEwFtwa6i3CAmfYjxy,19,1710000,1995000,105000.0,-1
606,btc3jyYcTGNtnzs5y6uKtZnL12tHCyfgnj3wFjqFRrF,21,1365215,105021,5001.0,-1
866,gmyoXkwG6fvmEF6rooEJA37jXXX45tcJ6ZhKK25wd1D,21,948416,105021,5001.0,-1
588,EgJ1xvRn6VAZKtWAYnrSYsrCwSEsjx9ky85sXUPpykpX,553,553000,19295200,34891.862567811935,-1
576,fLiPgg2yTvmgfhiPkKriAHkDmmXGP6CdeFX9UF5o7Zc,3642,364200,19321644,5305.2289950576605,-1
2160,popGcZwH7A8dra8kmusMUR3sTvEjQ8GWDaAKsMH43Hr,17,363983,85017,5001.0,-1
575,Habp5bncMSsBC3vkChyebepym5dcTNRYeg2LVG464E96,3434,343400,18217787,5305.121432731508,-1
1449,Aw8M7W2BnsiGtTKFYaooUBtusM59Q8B5KUFRod9B9oBh,1,273572,10505000,10505000.0,-1
623,Drcwvkoke11pVgMW98chAzNJd9bs5MyU5n3gBj55QHdd,192,192000,6384800,33254.166666666664,-1
15,px1rbjiEWwwcq1epXSsTMJERyQy7h4vg4VopqFz2HwH,71,78338,355000,5000.0,-1
2406,U1nNVadFD5Ug2LgwUeZz5fm4u4KjvTU9U72Hi6sEpVR,52,52000,5720000,110000.0,-1
1141,Ei3AzHz4cRRXANtiGfaNdX1fZ1JW798BhM5k9oQSsRY4,26,26000,510000,19615.384615384617,-1
3446,4YQGQiNBfqEWxP5ernHzraFjc6rwP9SR9m6HRPmk2QM8,19,19000,571600,30084.21052631579,-1
4451,GZctHpWXmsZC1YHACTGGcHhYxjdRqQvTpYkb9LMvxDib,16,16000,80000,5000.0,-1
1967,8Juu8gXPHCKougXvkg3ZY8HdJcBdqFch7hHKjKFNWTFV,18,7717,148732,8262.888888888889,-1
2,FLipG5QHjZe1H12f6rr5LCnrmqjhwuBTBp78GwzxnwkR,1288,1288,6440000,5000.0,-1
75,FLipgewPwNeqvwPFW3CvMTLpHTvuX7BQoXC6xhrWiCR3,1196,1196,5980000,5000.0,-1
76,2sj6yUtdkmX68JY4JvpuBhUjnS9zsrNK369Ee6UMagJB,160,400,800000,5000.0,-1
3,MtarjdmV3gc6cvGFdpqNBEmBywCNQT4Uvq3UpzicJfe,206,206,1030000,5000.0,-1
414,9wMYku5fTTGYtwCP3gavyHF4zA2ru4NpyuZigde2vyyU,57,57,285000,5000.0,-1
328,Dm3Dh8uQUEzidw8ZUhXAYkgPVv1JGGtzo8dAWMRPk6Cm,57,57,285000,5000.0,-1
488,Dj28FebaSsfvq1akmk7iptf7tCzy82HPNVT4RaMyjBAT,57,57,285000,5000.0,-1
78,QCaVjsDMbWRFxpw1e6Sbq9SmPJSxjnHZ2ZbsMCTU9Bc,54,54,278208,5152.0,-1
886,63jXqKLGFsVHn8svyXhTDuTcjUjQvgJPyrmSCV9Yhqg6,40,40,200000,5000.0,-1
77,8Pzx9ccwFssfN6P6Go1ozRE6145tnLh6Mq6DiCHm8N8N,38,38,191748,5046.0,-1
26,3V6UaPLmFh6FJPusNuxkL3aJJh6U1kktKjFSYruN7t3r,19,38,95000,5000.0,-1
369,9H3MfZ5mjuNAFSDdeoU3ZN4awK6Q7vV8jgRwyDsVWVQq,20,20,100000,5000.0,-1
433,AopyACBy5F4vk3WiedCTVvBrPJKV8ryTrakizZNuCdr2,20,20,100000,5000.0,-1
885,DTHMVdPxJWzYc8jGJEBc2sD1XVb478Tn6CMVHCoUFzEp,20,20,100000,5000.0,-1
290,CyBjGpte4Npi5zNkdtWumPxVW4kpMR8BuFSbA587xZES,7,0,24055000,3436428.571428572,-1
71,BJ2ugEkEcPQMwuG7qbujH7XXagtr1ZgFDKKrerCoLGHz,31,0,12710000,410000.0,-1
687,3v7ex5Ty7BMRaV8QnAe36Z7ifRzWKygYM9JgpTPs75dX,36,0,504000,14000.0,-1
1713,FJgV8rj7HqNoPhWkkmZMNe6XcyegKe51JF3BbPVTiWd3,24,0,492000,20500.0,-1
2372,92bXUB6oV2uKEKvdz38RrL5ppkZqk53MWzADxojEZnkE,26,0,572000,22000.0,-1
4353,5Q3tXXmEMxPiSDF3THqaxf4XkWac1B1JNXWGBiB8mYeP,1,0,6255000,6255000.0,-1
