wallet,tx_count,total_fee,avg_fee,total_sent_sol,token_diversity,defi_activity_count,mint_count,tokens_minted,spl_tokens_sent,avg_tx_size,fee_ratio,defi_ratio,mint_ratio,cluster,pca1,pca2
917FzxdpDtqw3YJGNKzdBisekMLgSvjN3oJ5NyqKuDx8,3,30000,10000.0,0,1,1,0,0,EPjFWd...:300,0.0,10000.0,0.3333333333333333,0.0,3,-0.1714797741514435,-0.23894200701585236
4Hrf1pEaWsetx984NAr8TdhcKa8FC9wVnYe7siKQQuEq,1,10000,10000.0,0,1,1,0,0,EPjFWd...:100,0.0,10000.0,1.0,0.0,3,-0.16902923180289026,1.3941391104818404
3V6UaPLmFh6FJPusNuxkL3aJJh6U1kktKjFSYruN7t3r,19,95000,5000.0,38,0,1,0,0,0,2.0,2500.0,0.05263157894736842,0.0,2,-0.07628610965343814,-1.9692682004519042
435UBENvMGCWpGzhRzhSZyeNYfXJdYW18ww6HyihorJb,1,5000,5000.0,2841583,0,1,0,0,0,2841583.0,0.0017595825988542303,1.0,0.0,0,-0.07223269540022838,0.4196830857985259
3CX58RbEg9KYyJbwHzYkeSRMHrSNeQixcvMqSWU8S441,1,80000,80000.0,0,1,1,0,0,ALvpqz...:1,0.0,80000.0,1.0,0.0,3,-0.172267938882026,1.404390182376228
5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,47,184237000,3919936.170212766,163122013220,0,1,0,0,0,3470681132.3404255,0.0011294429020534621,0.02127659574468085,0.0,2,7.006765078071076,-2.8742821362220776
AUBYzC3DeZFj76z1Vix7HVHGDu3jbnqVBvwjWdGb5WLS,1,155000,155000.0,10000000,0,1,0,0,0,10000000.0,0.0155,1.0,0.0,0,-0.07136077404443304,0.3955055982438476
ExjTnSJ4nDGufHvX31zHJtJacKgurihPqZgbqTWRk4bG,2,10000,5000.0,20001000,0,1,0,0,0,10000500.0,0.0004999750012499375,0.5,0.0,2,-0.07301848047234498,-0.8028520109338103
6HRgJMRmjaj2svP9GpRbUU5TPzLAHnBW3sHgYVbirWYE,8,40000,5000.0,10500,0,1,0,0,0,1312.5,3.8095238095238093,0.125,0.0,2,-0.07575427313488263,-1.7436585734836465
DHgwLEVtiGKU6Gsw4mB6BPL2TKHWeWLYra3bVA7wv5ey,2,10000,5000.0,890880,0,1,0,0,0,445440.0,0.01122485632183908,0.5,0.0,2,-0.07425277407693942,-0.8028521957053734
CehG8wN5WSY9aS1WuGp97yHdvFJtBf9jPJahatmi1bgG,1,5000,5000.0,20000,0,1,0,0,0,20000.0,0.25,1.0,0.0,0,-0.07247743847224054,0.41968185427815696
oQPnhXAbLbMuKHESaGrbXT17CyvWCpLyERSJA9HCYd7,310,1550310,5001.0,12114955,0,2,0,0,0,39080.5,0.12796663297552488,0.0064516129032258064,0.0,4,-0.12502266940204892,-6.612082487286237
AXfKYjbSa15gk2G7dhwzxcdmxGFmPnMtEcwhh6PoKnFN,2,10000,5000.0,101000,0,1,0,0,0,50500.0,0.09900990099009901,0.5,0.0,2,-0.07430379541280416,-0.8028521764719225
wowK1ivqmU9WhHnghiJQ4UUySndzvrUAJinjMUw54eX,7,35007,5001.0,55264,0,1,0,0,0,7894.857142857143,0.6334503474232773,0.14285714285714285,0.0,2,-0.0756735041752035,-1.6956067067900755
